,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
399,100.0,100.0,20480,0,0,0,0,2,1,2.0,1.5,1,Tim,2.5,280,False,,2019-10-27T20:00:16.930339Z,45,20480.jpg,3.0,Krul,2.2,False,,a,14,45,66,203125,4906,151780,5317,0.6,14.7,Krul,1980,0,0,3,40,1,2,0,4,0,75,7,396,631.8,0.0,0.0,63.2
400,,,18499,0,0,0,0,0,1,-0.5,-1.0,0,Michael,0.0,281,False,,,40,18499.jpg,5.5,McGovern,6.8,False,,a,14,45,11,386051,3886,248029,11354,0.0,2.8,McGovern,158,0,0,0,6,0,1,0,0,0,7,2,46,65.0,0.0,0.0,6.5
401,100.0,0.0,37614,0,0,-3,3,0,3,0.5,0.0,0,Mario,1.0,282,False,,2020-01-21T14:00:15.440064Z,62,37614.jpg,1.8,Vrancic,0.1,False,,a,14,45,18,3729,50,13940,172,0.2,2.9,Vrancic,352,1,0,0,8,0,0,0,2,0,0,1,76,82.4,82.0,68.0,23.4
402,75.0,0.0,195546,0,0,0,0,1,3,1.9,0.0,0,Emiliano,3.0,283,False,Thigh injury - 75% chance of playing,2020-01-21T14:00:15.453841Z,60,195546.jpg,3.2,Buendía,0.8,False,,d,14,45,73,209214,342,208125,5750,0.5,12.2,Buendía,1772,0,7,2,40,0,0,0,3,0,0,10,358,540.8,960.0,300.0,180.3
403,100.0,100.0,89470,0,0,-2,2,0,3,0.3,-0.2,1,Onel,0.8,284,False,,2019-11-01T16:00:22.360282Z,53,89470.jpg,2.0,Hernández,0.1,False,,a,14,45,32,5795,109,16194,139,0.2,6.0,Hernández,752,1,1,1,15,0,0,0,0,0,0,0,104,148.4,136.7,258.0,54.1
404,,,71738,0,0,-4,4,0,3,-0.3,-0.8,1,Marco,0.2,285,False,,,51,71738.jpg,1.4,Stiepermann,0.1,False,,a,14,45,24,5970,19,11466,63,0.0,4.7,Stiepermann,919,0,0,1,24,0,0,0,4,0,0,0,75,91.6,154.4,255.0,50.2
405,100.0,100.0,78607,0,0,-1,1,0,3,1.7,1.2,2,Kenny,2.2,286,False,,2020-01-24T15:00:18.009033Z,49,78607.jpg,2.2,McLean,0.2,False,,a,14,45,50,11625,95,16457,202,0.4,10.2,McLean,1838,1,1,3,40,0,0,0,4,0,0,0,273,322.0,295.5,204.0,82.0
406,75.0,100.0,193111,0,0,5,-5,2,3,2.6,3.0,1,Todd,4.0,287,False,Hamstring injury - 75% chance of playing,2020-01-24T15:00:18.019788Z,50,193111.jpg,3.8,Cantwell,22.8,False,,d,14,45,90,3390830,18205,1932472,120941,0.8,18.0,Cantwell,1716,6,2,4,36,0,0,0,3,0,0,10,326,428.6,349.1,590.0,136.1
407,100.0,100.0,87396,0,0,-2,2,0,3,-0.5,-1.0,0,Moritz,0.0,288,False,,2019-09-13T13:30:19.474643Z,43,87396.jpg,1.8,Leitner,0.2,False,,a,14,45,16,22411,574,29513,564,0.0,3.7,Leitner,683,0,0,1,16,0,0,0,1,0,0,0,102,106.8,127.7,53.0,28.8
408,100.0,100.0,18665,0,0,0,0,0,3,1.5,1.0,2,Alexander,2.0,289,False,,2019-11-29T13:30:22.939718Z,45,18665.jpg,2.4,Tettey,0.3,False,,a,14,45,43,41650,556,33606,1311,0.4,9.6,Tettey,1369,1,1,3,25,0,0,0,4,0,0,3,244,231.4,96.2,106.0,43.4
409,100.0,100.0,90440,0,0,-1,1,0,3,-0.5,-1.0,0,Tom,0.0,290,False,,2019-09-04T09:00:11.384947Z,44,90440.jpg,1.8,Trybull,0.6,False,,a,14,45,25,46884,63,73115,459,0.0,5.7,Trybull,1022,0,0,2,21,0,0,0,2,0,0,0,161,184.6,44.0,90.0,32.0
410,100.0,100.0,81048,0,0,-2,2,0,4,0.0,-0.5,1,Josip,0.5,434,False,,2019-11-11T12:00:15.065845Z,53,81048.jpg,1.4,Drmic,0.1,False,,a,14,45,14,4987,88,14256,55,0.1,2.6,Drmic,124,1,0,0,3,0,0,0,0,0,0,0,42,35.6,8.1,42.0,8.4
411,0.0,0.0,124165,0,0,-4,4,0,3,0.0,0.0,0,Patrick,0.0,435,False,Joined Middlesbrough on loan until the end of the season on 2/1. - Expected back 01 Jul,2020-01-02T20:30:19.362679Z,51,124165.jpg,1.0,Roberts,0.0,False,,n,14,45,3,1515,7,7591,58,0.0,0.6,Roberts,24,0,0,0,2,0,0,0,0,0,0,0,12,4.4,0.6,0.0,0.5
412,100.0,0.0,28082,0,0,-1,1,0,1,-0.5,0.0,0,Ralf,0.0,449,False,,2020-01-21T14:00:15.835871Z,44,28082.jpg,1.0,Fahrmann,0.3,False,,a,14,45,1,4944,42,25993,283,0.0,0.2,Fahrmann,21,0,0,0,1,0,0,0,0,0,1,0,6,4.0,0.0,0.0,0.4
