assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,elementStatus,element_type,element_type_id,element_type_singular_name,element_type_singular_name_short,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,iconInfo,ict_index,id,in_dreamteam,influence,infoStub,isElement,isTransfer,loaned_in,loaned_out,loans_in,loans_out,minutes,news,next_event_fixture,now_cost,own_goals,penalties_missed,penalties_saved,photo,photo_url,points_per_game,red_cards,saves,search_name,second_name,selected_by_percent,shirt_id,shirt_image_url,special,squad_number,status,team,team_code,team_name,team_short_name,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,,,0,153133,0,0,0,0,0.0,0,0,,3,3,Midfielder,MID,2.9,2.4,0,Alex,0.0,0,0,ism-icon--info,0.0,21,False,0.0,,True,False,0,0,0,0,0,,STK (A),55,0,0,0,153133.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/153133.jpg,0.0,0,0,iwobi,Iwobi,3.2,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,17,a,1,3,Arsenal,ARS,0.0,0,206,206,6120,6120,0.0,0.0,Iwobi,0
1,0,21,,,0,153256,0,0,0,0,30.8,0,0,,3,3,Midfielder,MID,2.0,1.5,5,Mohamed,5.0,3,0,ism-icon--info,6.3,22,False,31.4,,True,False,0,0,0,0,66,,STK (A),45,0,0,0,153256.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/153256.jpg,5.0,0,0,elneny,Elneny,2.0,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,35,a,1,3,Arsenal,ARS,1.0,5,5474,5474,808,808,1.1,1.1,Elneny,0
2,2,37,,,0,84450,0,0,0,0,78.8,1,0,,3,3,Midfielder,MID,2.9,2.4,10,Granit,10.0,3,0,ism-icon--info,16.8,23,True,58.2,,True,False,0,0,0,0,90,,STK (A),55,0,0,0,84450.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/84450.jpg,10.0,0,0,xhaka,Xhaka,5.4,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,29,a,1,3,Arsenal,ARS,31.0,10,20769,20769,1109,1109,1.8,1.8,Xhaka,0
0,0,0,25,25,0,54102,0,0,0,0,0.0,0,0,25,3,3,Midfielder,MID,0.7,0.6,0,Jack,0.0,0,0,ism-icon--info--25,0.0,24,False,0.0,poss_25,True,False,0,0,0,0,0,Leg injury - 25% chance of playing,STK (A),55,0,0,0,54102.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/54102.jpg,0.0,0,0,wilshere,Wilshere,0.0,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,10,d,1,3,Arsenal,ARS,0.0,0,12,12,87,87,0.0,0.0,Wilshere,0
0,0,31,100,100,0,44346,0,0,0,0,14.9,0,0,,4,4,Forward,FWD,3.6,3.1,5,Olivier,5.0,0,1,ism-icon--info,6.9,25,False,35.0,,True,False,0,0,0,0,23,,STK (A),85,0,0,0,44346.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/44346.jpg,5.0,0,0,giroud,Giroud,2.1,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,12,a,1,3,Arsenal,ARS,19.0,5,764,764,1195,1195,0.6,0.6,Giroud,0
0,0,31,,,0,50175,0,0,0,0,29.0,0,0,,4,4,Forward,FWD,3.3,2.8,6,Danny,6.0,3,1,ism-icon--info,12.9,26,False,43.0,,True,False,0,0,0,0,74,,STK (A),75,0,0,0,50175.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/50175.jpg,6.0,0,0,welbeck,Welbeck,1.1,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,23,a,1,3,Arsenal,ARS,57.0,6,1510,1510,539,539,0.8,0.8,Welbeck,0
0,0,0,,,0,155851,0,0,0,0,0.0,0,0,,4,4,Forward,FWD,3.3,2.8,0,Lucas,0.0,0,0,ism-icon--info,0.0,27,False,0.0,,True,False,0,0,0,0,0,,STK (A),75,0,0,0,155851.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/155851.jpg,0.0,0,0,perez,Pérez,0.3,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,28,a,1,3,Arsenal,ARS,0.0,0,27,27,361,361,0.0,0.0,Pérez,0
0,0,32,,,0,59966,0,0,0,0,0.0,0,0,,4,4,Forward,FWD,4.3,3.8,6,Alexandre,6.0,3,1,ism-icon--info,0.0,28,False,0.0,,True,False,0,0,0,0,90,,STK (A),105,0,0,0,59966.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/59966.jpg,6.0,0,0,lacazette,Lacazette,18.2,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,9,a,1,3,Arsenal,ARS,0.0,6,5875,5875,1931,1931,0.6,0.6,Lacazette,0
0,0,19,,,0,40349,0,0,0,0,0.0,0,0,,1,1,Goalkeeper,GKP,1.8,1.8,3,Asmir,3.0,1,0,ism-icon--info,0.0,29,False,0.0,,True,False,0,0,0,0,90,,WAT (H),45,0,0,0,40349.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/40349.jpg,3.0,0,5,begovic,Begovic,5.9,91_1,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91_1.png,False,27,a,2,91,Bournemouth,BOU,0.0,3,886,886,427,427,0.7,0.7,Begovic,0
0,0,0,,,0,18726,0,0,0,0,0.0,0,0,,1,1,Goalkeeper,GKP,1.8,1.8,0,Artur,0.0,0,0,ism-icon--info,0.0,30,False,0.0,,True,False,0,0,0,0,0,,WAT (H),45,0,0,0,18726.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/18726.jpg,0.0,0,0,boruc,Boruc,5.2,91_1,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91_1.png,False,1,a,2,91,Bournemouth,BOU,0.0,0,76,76,796,796,0.0,0.0,Boruc,0
