id,fixture,name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,position,unique_id
2,81,Bernd_Leno_2,0,26,0,0,0,13,0,1,21,0.0,0,0,0,0,1,0,1.6,16.2,0,90,0,0,11,0,0,0,0,11,0,9,2,90965,0,0,0,1,3,0,2,4917,8112,3195,48,True,0,0,1,1,46
2,93,Bernd_Leno_2,0,24,0,0,0,12,0,5,23,0.0,0,0,0,0,2,0,0.9,9.2,0,90,0,0,7,0,0,0,0,6,0,10,1,93513,0,0,0,2,2,0,1,1406,4223,2817,48,False,0,0,1,1,47
2,101,Bernd_Leno_2,0,27,0,0,0,12,0,2,23,0.0,0,1,0,0,1,0,2.4,23.6,0,90,0,0,12,0,0,0,0,7,0,11,3,90454,0,0,0,1,1,0,3,-3545,1621,5166,48,True,0,0,1,1,48
2,111,Bernd_Leno_2,0,19,0,0,1,18,0,0,18,0.0,0,0,0,0,1,0,3.1,31.0,0,90,0,0,20,0,0,0,0,14,0,12,4,99308,0,0,0,1,1,0,4,6143,8173,2030,48,True,0,0,1,1,49
2,121,Bernd_Leno_2,0,35,0,0,0,20,0,0,15,0.0,0,0,0,0,1,0,3.2,31.8,0,90,0,0,2,0,0,0,0,13,0,13,5,100630,0,0,0,2,1,0,3,544,3453,2909,48,False,0,0,1,1,50
2,131,Bernd_Leno_2,0,30,0,0,0,13,0,1,17,0.0,0,1,0,0,2,0,2.3,23.4,0,90,0,0,17,0,0,0,0,7,0,14,4,101270,0,0,0,2,4,0,2,-51,1996,2047,48,True,0,0,1,1,51
2,145,Bernd_Leno_2,0,32,0,0,0,22,0,1,23,0.0,0,0,0,0,2,0,2.5,24.6,0,90,0,0,14,0,0,0,0,12,0,15,5,103367,0,0,0,2,2,0,2,1130,3448,2318,48,False,0,0,1,1,52
2,151,Bernd_Leno_2,0,38,0,0,1,22,1,1,27,0.0,0,0,0,0,0,0,0.6,6.4,0,90,0,0,10,0,0,0,0,7,0,16,0,124446,0,0,0,0,1,0,7,14441,16815,2374,48,True,0,0,1,1,53
2,167,Bernd_Leno_2,0,28,0,0,0,14,0,1,26,0.0,0,1,0,0,3,0,2.1,20.6,0,90,0,0,16,0,0,0,0,9,0,17,4,135252,0,0,0,2,3,0,2,12049,15864,3815,48,False,0,0,1,1,54
2,171,Bernd_Leno_2,0,38,0,0,0,11,0,2,22,0.0,0,0,0,0,1,0,1.3,13.2,0,90,0,0,4,0,0,0,0,7,0,18,1,142055,0,0,0,1,3,0,2,5500,10708,5208,48,True,0,0,1,1,55
2,181,Bernd_Leno_2,0,36,0,0,0,16,0,1,30,0.0,0,0,0,0,1,0,2.2,22.0,0,90,0,0,3,0,0,0,0,7,0,19,2,140787,0,0,0,1,1,0,2,-1515,5777,7292,48,False,0,0,1,1,56
2,196,Bernd_Leno_2,0,32,0,0,0,21,0,2,20,0.0,0,0,0,0,5,0,3.8,37.8,0,90,0,0,12,0,0,0,0,14,0,20,5,131962,0,0,0,1,5,0,1,-9063,2637,11700,48,False,0,0,1,1,57
2,201,Bernd_Leno_2,0,38,0,0,0,18,0,0,21,0.0,0,0,0,0,1,0,2.8,28.2,0,90,0,0,9,0,0,0,0,18,0,21,3,137572,0,0,0,1,4,0,3,3101,10080,6979,48,True,0,0,1,1,58
2,220,Bernd_Leno_2,0,33,0,0,0,15,0,0,26,0.0,0,0,0,0,1,0,1.7,17.2,0,90,0,0,19,0,0,0,0,10,0,22,2,132250,0,0,0,0,1,0,2,-6048,5364,11412,48,False,0,0,1,1,59
2,221,Bernd_Leno_2,0,32,0,0,0,23,1,1,18,0.0,0,0,0,0,0,0,1.1,11.4,0,90,0,0,6,0,0,0,0,11,0,23,1,123855,0,0,0,0,2,0,6,-8983,2550,11533,48,True,0,0,1,1,60
2,231,Bernd_Leno_2,0,28,0,0,0,11,0,1,23,0.0,0,0,0,0,1,0,0.8,8.4,0,90,0,0,5,0,0,0,0,10,0,24,1,137995,0,0,0,1,2,0,2,11546,16026,4480,48,True,0,0,1,1,61
2,248,Bernd_Leno_2,0,38,0,0,1,28,0,3,25,0.0,0,0,0,0,3,0,7.1,70.8,0,90,0,0,13,0,0,0,0,10,0,25,9,130106,0,0,0,1,3,0,5,-6387,1726,8113,48,False,0,0,1,1,62
2,254,Bernd_Leno_2,0,29,0,0,0,19,0,0,19,0.0,0,0,0,0,1,0,3.3,32.8,0,90,0,0,10,0,0,0,0,11,0,26,5,146892,0,0,0,2,1,0,3,13304,17037,3733,48,False,0,0,1,1,63
2,261,Bernd_Leno_2,0,28,0,0,0,28,1,0,18,0.0,0,0,0,0,0,0,3.1,31.4,0,90,0,0,16,0,0,0,0,8,0,27,4,163702,0,0,0,0,2,0,7,6232,11467,5235,48,True,0,0,1,1,64
2,271,Bernd_Leno_2,0,29,0,0,0,16,0,0,23,0.0,0,0,0,0,1,0,2.4,23.6,0,90,0,0,2,0,0,0,0,6,0,28,4,156556,0,0,0,1,5,0,3,2302,5783,3481,48,True,0,0,1,1,65
2,287,Bernd_Leno_2,0,32,0,0,0,11,0,0,17,0.0,0,0,0,0,1,0,1.9,19.4,0,90,0,0,17,0,0,0,0,4,0,29,2,149525,0,0,0,1,1,0,2,-6959,2309,9268,48,False,0,0,1,1,66
2,291,Bernd_Leno_2,0,31,0,0,2,29,1,0,16,0.0,0,0,0,0,0,0,3.1,31.2,0,90,0,0,14,0,0,0,0,9,0,30,4,146874,0,0,0,0,2,0,9,-3408,2521,5929,48,True,0,0,1,1,67
2,310,Bernd_Leno_2,0,14,0,0,0,4,0,1,11,0.0,0,1,0,0,3,0,0.0,0.0,0,90,0,0,20,0,0,0,0,3,0,35,0,263807,0,0,0,1,3,0,1,47006,51276,4270,49,False,0,0,1,1,68
2,311,Bernd_Leno_2,0,20,0,0,0,23,1,0,12,0.0,0,0,0,0,0,0,1.0,10.2,0,90,0,0,15,0,0,0,0,9,0,32,1,156501,0,0,0,0,2,0,6,7170,13360,6190,48,True,0,0,1,1,69
2,323,Bernd_Leno_2,0,33,0,0,0,20,0,1,26,0.0,0,0,0,0,1,0,4.1,41.4,0,90,0,0,8,0,0,0,0,9,0,33,5,201274,1,0,0,0,1,0,3,36103,38855,2752,48,False,0,0,1,1,70
