name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,position,unique_id
Pierre-Emerick_Aubameyang_23,7,688,7,19,32,756,7,26,512,484.59999999999997,28,0,0,13,42,22,289.59999999999997,984.3999999999997,33,2722,23,10,418,0,0,1,0,66,0,745,0,50363098,61,13,32,47,77,1429,205,156240,3954516,3798276,4193,19.0,5,0,38,152,32471
Pierre-Emile_H?jbjerg_340,3,1790,4,1,8,477,4,100,1489,445.5999999999999,23,1,0,48,59,4,148.80000000000004,616.0000000000001,28,2760,0,7,388,0,0,0,0,270,2,745,0,6996725,59,35,24,48,62,421,90,165006,642642,477636,1684,19.0,1,7,608,114,490219
Pontus_Dahlberg_374,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,384,0,0,0,0,0,0,744,0,135747,0,0,0,54,57,0,0,-1632,875,2507,1663,19.0,0,0,684,38,539315
R?ben Diogo_da Silva Neves_433,3,1945,4,0,7,483,8,134,1580,365.9000000000001,12,0,3,37,43,4,146.79999999999995,698.2000000000002,24,3006,0,5,380,0,0,0,0,291,0,744,0,32602945,42,10,28,40,53,402,104,-218874,1387664,1606538,1895,19.0,0,8,760,114,624511
R?ben Gon?alo_Silva Nascimento Vinagre_431,0,284,1,1,0,118,1,29,219,113.69999999999999,13,0,1,12,9,0,30.0,117.00000000000003,6,703,1,7,380,0,0,0,0,54,0,744,0,231351,19,7,0,40,53,69,24,-3677,9240,12917,1644,19.0,0,1,760,76,621623
Ra?l_Jim?nez_437,10,1063,13,10,31,602,12,68,777,648.4999999999998,31,0,0,41,40,13,285.4000000000001,788.8000000000001,42,3112,33,7,380,0,0,0,0,139,0,744,0,48775690,104,15,52,40,53,1428,181,2490616,4497969,2007353,2372,19.0,4,4,760,152,630287
Rachid_Ghezzal_492,0,424,2,1,2,112,1,11,337,307.0,16,0,1,13,13,1,68.30000000000001,147.8,15,733,0,11,398,0,0,0,0,48,0,741,0,340751,29,4,4,47,52,228,28,-8844,30519,39363,1952,19.0,0,3,418,114,709707
Rafa_Mir_449,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,380,0,0,0,0,0,0,744,0,138010,0,0,0,40,53,0,0,-3681,2293,5974,1710,19.0,0,0,760,152,647615
Rafael_Camacho_557,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,1,0,0.2,2.0,0,1,0,0,253,0,0,0,0,0,0,636,0,2441,0,0,0,31,48,0,1,73,348,275,1200,12.0,0,0,288,72,502476
Ragnar_Klavan_244,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,396,0,0,0,0,0,0,741,0,112590,0,0,0,44,67,0,0,-5456,260,5716,1674,19.0,0,0,456,76,351595
