Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Emerson,CHE,DEF,52,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Enobakhare,WOL,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Eriksen,TOT,MID,92,202.7,114.2,129.0,44.8,9,0,2,0,0,0,0,0,0,4.1,581,0,22
Etheridge,CAR,GKP,45,0.0,343.0,0.0,34.2,25,0,0,0,0,2,39,0,0,5.9,1080,3,43
Evans,LEI,DEF,48,12.2,57.0,35.0,10.4,4,0,0,0,0,0,0,1,0,0.3,428,0,21
Fabianski,WHU,GKP,45,0.0,374.4,0.0,37.2,18,0,0,0,0,0,51,0,0,13.8,1080,7,45
Fabinho,LIV,MID,55,45.7,41.6,26.0,11.4,2,0,0,0,0,0,0,1,0,0.5,291,0,7
Fabri,FUL,GKP,43,0.0,115.2,0.0,11.5,5,0,0,0,0,0,15,0,0,0.3,180,2,8
Felipe Anderson,WHU,MID,69,374.2,324.8,238.0,93.7,16,4,1,0,0,0,0,3,0,5.6,990,7,52
Fellaini,MUN,MID,49,60.4,141.4,113.0,31.4,10,0,2,0,0,0,0,0,0,0.6,560,0,21
Fernandes,WHU,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Fernandinho,MCI,MID,54,168.7,256.6,126.0,55.3,5,1,2,0,0,0,0,2,0,5.5,1051,3,43
Fernandez,NEW,DEF,44,41.2,210.6,44.0,29.6,11,0,1,0,0,0,0,1,0,0.4,810,3,31
Firmino,LIV,FWD,92,241.6,191.4,325.0,75.2,2,2,2,0,0,0,0,0,0,17.4,914,4,41
Foden,MCI,MID,46,54.0,14.4,69.0,13.7,0,0,0,0,0,0,0,0,0,0.1,65,0,6
Fonte,FUL,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Forster,SOU,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
Foster,WAT,GKP,45,30.0,227.4,0.0,25.8,14,0,0,0,0,0,28,0,0,4.2,1080,1,38
Fosu-Mensah,FUL,DEF,45,85.9,65.4,26.0,17.6,12,0,0,1,0,0,0,2,0,0.4,502,0,4
Foyth,TOT,DEF,50,1.8,62.8,33.0,9.8,2,1,0,0,0,0,0,1,0,0.4,180,3,15
Francis,BOU,DEF,44,94.2,196.4,26.0,31.6,11,0,1,0,0,0,0,0,0,0.4,732,0,28
